Week Ending Date,Report Date,Date,Weighted Price,Weighted Price adjusted to 38% moisture,Sales,Moisture Content
8/19/2017,8/23/2017,22-Jul,1.5238,1.4489,"9,233,624",34.79
8/19/2017,8/23/2017,29-Jul,1.5636,1.4863,"10,948,266",34.77
8/19/2017,8/23/2017,5-Aug,1.5891,1.5113,"11,520,370",34.81
8/19/2017,8/23/2017,12-Aug,1.636,1.5526,"10,741,788",34.67
8/19/2017,8/23/2017,19-Aug,1.6543,1.5738,"11,131,479",34.83
8/12/2017,8/16/2017,12-Aug,1.636,1.5526,"10,752,293",34.67
8/12/2017,8/16/2017,5-Aug,1.5891,1.5113,"11,520,371",34.81
8/12/2017,8/16/2017,29-Jul,1.5636,1.4863,"10,948,267",34.77
8/12/2017,8/16/2017,22-Jul,1.5238,1.4489,"9,233,624",34.8
8/12/2017,8/16/2017,15-Jul,1.488,1.4164,"13,441,457",34.87
8/5/2017,8/9/2017,8-Jul,1.4911,1.4204,"10,796,511",34.91
8/5/2017,8/9/2017,15-Jul,1.488,1.4164,"13,441,457",34.87
8/5/2017,8/9/2017,22-Jul,1.5238,1.4489,"9,233,624",34.8
8/5/2017,8/9/2017,29-Jul,1.5636,1.4863,"10,948,267",34.77
8/5/2017,8/9/2017,5-Aug,1.5902,1.5124,"11,361,822",34.81
7/29/2017,8/2/2017,29-Jul,1.5636,1.4863,"10,935,962",34.77
7/29/2017,8/2/2017,22-Jul,1.5238,1.4489,"9,233,624",34.8
7/29/2017,8/2/2017,15-Jul,1.488,1.4164,"13,441,457",34.87
7/29/2017,8/2/2017,8-Jul,1.4911,1.4204,"10,796,511",34.91
7/29/2017,8/2/2017,1-Jul,1.5125,1.4381,"12,210,435",34.79
7/22/2017,7/26/2017,24-Jun,1.571,1.4943,"11,220,932",34.82
7/22/2017,7/26/2017,1-Jul,1.5125,1.438,"12,210,435",34.79
7/22/2017,7/26/2017,8-Jul,1.4911,1.4204,"10,789,616",34.91
7/22/2017,7/26/2017,15-Jul,1.4887,1.4173,"12,831,031",34.88
7/22/2017,7/26/2017,22-Jul,1.5243,1.4493,"9,110,354",34.79
7/15/2017,7/19/2017,15-Jul,1.4893,1.4178,"12,765,578",34.88
7/15/2017,7/19/2017,8-Jul,1.4911,1.4204,"10,789,616",34.91
7/15/2017,7/19/2017,1-Jul,1.5125,1.438,"12,210,435",34.79
7/15/2017,7/19/2017,24-Jun,1.571,1.4943,"11,220,932",34.82
7/15/2017,7/19/2017,17-Jun,1.5987,1.5227,"11,656,724",34.9
7/8/2017,7/12/2017,10-Jun,1.633,1.5547,"12,832,612",34.88
7/8/2017,7/12/2017,17-Jun,1.5987,1.5227,"11,656,724",34.9
7/8/2017,7/12/2017,24-Jun,1.571,1.4943,"11,220,932",34.82
7/8/2017,7/12/2017,1-Jul,1.5125,1.438,"12,210,435",34.79
7/8/2017,7/12/2017,8-Jul,1.4918,1.4211,"10,467,959",34.91
7/1/2017,7/6/2017,1-Jul,1.5147,1.44,"11,798,391",34.78
7/1/2017,7/6/2017,24-Jun,1.571,1.4943,"11,220,932",34.82
7/1/2017,7/6/2017,17-Jun,1.5987,1.5227,"11,656,724",34.9
7/1/2017,7/6/2017,10-Jun,1.633,1.5547,"12,832,612",34.88
7/1/2017,7/6/2017,3-Jun,1.6128,1.5371,"11,961,197",34.95
6/24/2017,6/28/2017,27-May,1.6006,1.5278,"11,846,233",35.05
6/24/2017,6/28/2017,3-Jun,1.6128,1.5371,"11,961,197",34.95
6/24/2017,6/28/2017,10-Jun,1.633,1.5547,"12,832,612",34.88
6/24/2017,6/28/2017,17-Jun,1.5987,1.5227,"11,656,724",34.9
6/24/2017,6/28/2017,24-Jun,1.5724,1.4957,"11,094,954",34.82
6/17/2017,6/21/2017,17-Jun,1.5994,1.5234,"11,574,235",34.91
6/17/2017,6/21/2017,10-Jun,1.633,1.5547,"12,832,612",34.88
6/17/2017,6/21/2017,3-Jun,1.6128,1.5371,"11,961,197",34.95
6/17/2017,6/21/2017,27-May,1.6006,1.5278,"11,846,233",35.05
6/17/2017,6/21/2017,20-May,1.5576,1.4876,"13,085,102",35.08
6/10/2017,6/14/2017,13-May,1.5377,1.4675,"12,612,881",35.03
6/10/2017,6/14/2017,20-May,1.5576,1.4876,"13,085,102",35.08
6/10/2017,6/14/2017,27-May,1.6006,1.5278,"11,846,233",35.05
6/10/2017,6/14/2017,3-Jun,1.618,1.5424,"12,166,909",34.96
6/10/2017,6/14/2017,10-Jun,1.633,1.5547,"12,832,612",34.88
6/3/2017,6/7/2017,3-Jun,1.618,1.5424,"12,166,909",34.96
6/3/2017,6/7/2017,27-May,1.6006,1.5278,"11,846,233",35.05
6/3/2017,6/7/2017,20-May,1.5576,1.4876,"13,085,102",35.08
6/3/2017,6/7/2017,13-May,1.5377,1.4675,"12,612,881",35.03
6/3/2017,6/7/2017,6-May,1.5307,1.4573,"11,237,229",34.88
5/27/2017,6/1/2017,29-Apr,1.5407,1.4647,"13,777,558",34.78
5/27/2017,6/1/2017,6-May,1.5307,1.4573,"11,237,229",34.88
5/27/2017,6/1/2017,13-May,1.5377,1.4675,"12,612,881",35.03
5/27/2017,6/1/2017,20-May,1.5576,1.4876,"13,085,102",35.08
5/27/2017,6/1/2017,27-May,1.6006,1.5278,"11,846,233",35.05
5/20/2017,5/24/2017,20-May,1.5576,1.4876,"13,085,102",35.08
5/20/2017,5/24/2017,13-May,1.5377,1.4675,"12,612,881",35.03
5/20/2017,5/24/2017,6-May,1.5307,1.4573,"11,237,229",34.88
5/20/2017,5/24/2017,29-Apr,1.5404,1.4646,"13,869,969",34.79
5/20/2017,5/24/2017,22-Apr,1.5499,1.474,"13,871,996",34.81
5/13/2017,5/17/2017,15-Apr,1.5514,1.4747,"14,282,017",34.78
5/13/2017,5/17/2017,22-Apr,1.5499,1.474,"13,871,996",34.81
5/13/2017,5/17/2017,29-Apr,1.5404,1.4646,"13,869,969",34.79
5/13/2017,5/17/2017,6-May,1.5307,1.4573,"11,237,229",34.88
5/13/2017,5/17/2017,13-May,1.5377,1.4675,"12,612,881",35.03
5/6/2017,5/10/2017,6-May,1.5307,1.4573,"11,237,229",34.88
5/6/2017,5/10/2017,29-Apr,1.5404,1.4646,"13,869,969",34.79
5/6/2017,5/10/2017,22-Apr,1.5499,1.474,"13,871,996",34.81
5/6/2017,5/10/2017,15-Apr,1.5514,1.4747,"14,282,017",34.78
5/6/2017,5/10/2017,8-Apr,1.5247,1.4521,"14,091,699",34.9
4/29/2017,5/3/2017,1-Apr,1.5151,1.4422,"12,701,901",34.87
4/29/2017,5/3/2017,8-Apr,1.5247,1.4521,"14,091,699",34.9
4/29/2017,5/3/2017,15-Apr,1.5514,1.4747,"14,282,017",34.78
4/29/2017,5/3/2017,22-Apr,1.5499,1.474,"13,871,996",34.81
4/29/2017,5/3/2017,29-Apr,1.5404,1.4646,"13,869,969",34.79
4/22/2017,4/26/2017,22-Apr,1.5501,1.4743,"13,750,905",34.81
4/22/2017,4/26/2017,15-Apr,1.5513,1.4747,"14,198,870",34.78
4/22/2017,4/26/2017,8-Apr,1.5247,1.4521,"14,091,699",34.9
4/22/2017,4/26/2017,1-Apr,1.5151,1.4422,"12,701,901",34.87
4/22/2017,4/26/2017,25-Mar,1.5427,1.473,"13,745,912",35.07
4/15/2017,4/19/2017,18-Mar,1.6039,1.5246,"15,125,416",34.78
4/15/2017,4/19/2017,25-Mar,1.5427,1.473,"13,745,912",35.07
4/15/2017,4/19/2017,1-Apr,1.5151,1.4422,"12,701,901",34.87
4/15/2017,4/19/2017,8-Apr,1.5247,1.4521,"14,091,699",34.9
4/15/2017,4/19/2017,15-Apr,1.5513,1.4747,"14,198,870",34.78
4/8/2017,4/12/2017,8-Apr,1.5246,1.452,"14,050,974",34.9
4/8/2017,4/12/2017,1-Apr,1.5151,1.4422,"12,701,901",34.87
4/8/2017,4/12/2017,25-Mar,1.5427,1.473,"13,745,912",35.07
4/8/2017,4/12/2017,18-Mar,1.6039,1.5246,"15,125,416",34.78
4/8/2017,4/12/2017,11-Mar,1.6755,1.593,"13,549,405",34.79
4/1/2017,4/5/2017,4-Mar,1.7432,1.656,"13,242,921",34.74
4/1/2017,4/5/2017,11-Mar,1.6758,1.5932,"13,466,413",34.78
4/1/2017,4/5/2017,18-Mar,1.6039,1.5246,"15,125,416",34.78
4/1/2017,4/5/2017,25-Mar,1.5427,1.473,"13,745,912",35.07
4/1/2017,4/5/2017,1-Apr,1.5152,1.4424,"12,661,046",34.87
3/25/2017,3/29/2017,25-Mar,1.5427,1.473,"13,745,912",35.07
3/25/2017,3/29/2017,18-Mar,1.6039,1.5246,"15,125,416",34.78
3/25/2017,3/29/2017,11-Mar,1.6758,1.5932,"13,466,413",34.78
3/25/2017,3/29/2017,4-Mar,1.7432,1.656,"13,242,921",34.74
3/25/2017,3/29/2017,25-Feb,1.7698,1.6803,"10,926,824",34.7
3/18/2017,3/22/2017,18-Feb,1.7511,1.6619,"11,913,579",34.67
3/18/2017,3/22/2017,25-Feb,1.7698,1.6803,"10,926,824",34.7
3/18/2017,3/22/2017,4-Mar,1.7432,1.656,"13,242,921",34.74
3/18/2017,3/22/2017,11-Mar,1.6758,1.5932,"13,466,413",34.78
3/18/2017,3/22/2017,18-Mar,1.6058,1.5262,"14,797,151",34.77
3/11/2017,3/15/2017,11-Mar,1.6763,1.5936,"13,382,652",34.78
3/11/2017,3/15/2017,4-Mar,1.7432,1.656,"13,242,921",34.74
3/11/2017,3/15/2017,25-Feb,1.7698,1.6803,"10,926,824",34.7
3/11/2017,3/15/2017,18-Feb,1.7511,1.6619,"11,913,579",34.67
3/11/2017,3/15/2017,11-Feb,1.6668,1.5868,"12,390,349",34.87
3/4/2017,3/8/2017,4-Feb,1.6842,1.6062,"12,310,466",34.99
3/4/2017,3/8/2017,11-Feb,1.6668,1.5868,"12,390,349",34.87
3/4/2017,3/8/2017,18-Feb,1.7511,1.6619,"11,913,579",34.67
3/4/2017,3/8/2017,25-Feb,1.7698,1.6803,"10,926,824",34.7
3/4/2017,3/8/2017,4-Mar,1.7429,1.6559,"13,273,001",34.74
2/25/2017,3/1/2017,25-Feb,1.7698,1.6803,"10,926,824",34.7
2/25/2017,3/1/2017,18-Feb,1.7511,1.662,"11,874,071",34.67
2/25/2017,3/1/2017,11-Feb,1.6668,1.5868,"12,390,349",34.87
2/25/2017,3/1/2017,4-Feb,1.6842,1.6062,"12,310,466",34.99
2/25/2017,3/1/2017,28-Jan,1.7316,1.6502,"11,741,032",34.94
2/18/2017,2/23/2017,21-Jan,1.7325,1.6524,"11,723,737",34.99
2/18/2017,2/23/2017,28-Jan,1.7316,1.6502,"11,741,032",34.94
2/18/2017,2/23/2017,4-Feb,1.6842,1.6062,"12,310,466",34.99
2/18/2017,2/23/2017,11-Feb,1.6668,1.5868,"12,390,349",34.87
2/18/2017,2/23/2017,18-Feb,1.7511,1.662,"11,874,071",34.67
2/11/2017,2/15/2017,11-Feb,1.6668,1.5868,"12,390,349",34.87
2/11/2017,2/15/2017,4-Feb,1.6842,1.6062,"12,310,466",34.99
2/11/2017,2/15/2017,28-Jan,1.7316,1.6502,"11,741,032",34.94
2/11/2017,2/15/2017,21-Jan,1.7325,1.6524,"11,723,737",34.99
2/11/2017,2/15/2017,14-Jan,1.7193,1.6393,"13,702,669",34.97
2/4/2017,2/8/2017,7-Jan,1.7453,1.6589,"9,571,316",34.77
2/4/2017,2/8/2017,14-Jan,1.7193,1.6393,"13,702,669",34.97
2/4/2017,2/8/2017,21-Jan,1.7325,1.6524,"11,723,737",34.99
2/4/2017,2/8/2017,28-Jan,1.7316,1.6502,"11,741,032",34.94
2/4/2017,2/8/2017,4-Feb,1.6842,1.6062,"12,310,466",34.99
1/28/2017,2/1/2017,28-Jan,1.7314,1.65,"11,660,026",34.94
1/28/2017,2/1/2017,21-Jan,1.7325,1.6524,"11,723,737",34.99
1/28/2017,2/1/2017,14-Jan,1.7193,1.6393,"13,702,669",34.97
1/28/2017,2/1/2017,7-Jan,1.7453,1.6589,"9,571,316",34.77
1/28/2017,2/1/2017,31-Dec,1.7644,1.6813,"9,501,625",34.94
1/21/2017,1/25/2017,24-Dec,1.7882,1.704,"10,798,260",34.94
1/21/2017,1/25/2017,31-Dec,1.7644,1.6813,"9,501,625",34.94
1/21/2017,1/25/2017,7-Jan,1.7439,1.6575,"9,571,316",34.77
1/21/2017,1/25/2017,14-Jan,1.719,1.639,"13,700,563",34.97
1/21/2017,1/25/2017,21-Jan,1.7287,1.6489,"11,640,854",35
1/14/2017,1/19/2017,14-Jan,1.719,1.639,"13,700,563",34.97
1/14/2017,1/19/2017,7-Jan,1.7439,1.6575,"9,571,316",34.77
1/14/2017,1/19/2017,31-Dec,1.7644,1.6813,"9,501,625",34.94
1/14/2017,1/19/2017,24-Dec,1.7882,1.704,"10,798,260",34.94
1/14/2017,1/19/2017,17-Dec,1.7761,1.6928,"12,412,307",34.95
1/7/2017,1/11/2017,10-Dec,1.8146,1.7338,"12,170,956",35.11
1/7/2017,1/11/2017,17-Dec,1.7761,1.6928,"12,412,307",34.95
1/7/2017,1/11/2017,24-Dec,1.7882,1.704,"10,798,260",34.94
1/7/2017,1/11/2017,31-Dec,1.7644,1.6813,"9,501,625",34.94
1/7/2017,1/11/2017,7-Jan,1.7446,1.6576,"9,406,780",34.75
12/31/2016,1/5/2017,31-Dec,1.7644,1.6813,"9,501,625",34.94
12/31/2016,1/5/2017,24-Dec,1.7882,1.704,"10,798,260",34.94
12/31/2016,1/5/2017,17-Dec,1.7761,1.6928,"12,412,307",34.95
12/31/2016,1/5/2017,10-Dec,1.8146,1.7338,"12,170,956",35.11
12/31/2016,1/5/2017,3-Dec,1.8699,1.7847,"11,657,916",35.04
12/24/2016,12/29/2016,26-Nov,1.8756,1.7868,"10,265,375",34.92
12/24/2016,12/29/2016,3-Dec,1.8699,1.7847,"11,657,916",35.04
12/24/2016,12/29/2016,10-Dec,1.8146,1.7338,"12,170,956",35.11
12/24/2016,12/29/2016,17-Dec,1.7761,1.6928,"12,412,307",34.95
12/24/2016,12/29/2016,24-Dec,1.7881,1.7039,"10,755,551",34.94
12/17/2016,12/21/2016,17-Dec,1.7751,1.6916,"12,247,325",34.94
12/17/2016,12/21/2016,10-Dec,1.8146,1.7338,"12,170,956",35.11
12/17/2016,12/21/2016,3-Dec,1.8699,1.7847,"11,657,916",35.04
12/17/2016,12/21/2016,26-Nov,1.8756,1.7868,"10,265,375",34.92
12/17/2016,12/21/2016,19-Nov,1.8678,1.7763,"10,120,762",34.81
12/10/2016,12/14/2016,12-Nov,1.7657,1.6852,"11,144,642",35.04
12/10/2016,12/14/2016,19-Nov,1.8678,1.7763,"10,120,762",34.81
12/10/2016,12/14/2016,26-Nov,1.8756,1.7868,"10,265,375",34.92
12/10/2016,12/14/2016,3-Dec,1.8699,1.7847,"11,657,916",35.04
12/10/2016,12/14/2016,10-Dec,1.8146,1.7338,"12,170,956",35.11
12/3/2016,12/7/2016,3-Dec,1.8702,1.7851,"11,331,492",35.04
12/3/2016,12/7/2016,26-Nov,1.8756,1.7868,"10,265,375",34.92
12/3/2016,12/7/2016,19-Nov,1.8678,1.7763,"10,120,762",34.81
12/3/2016,12/7/2016,12-Nov,1.7657,1.6852,"11,144,642",35.04
12/3/2016,12/7/2016,5-Nov,1.6743,1.5958,"10,840,769",34.95
11/26/2016,11/30/2016,29-Oct,1.6478,1.5716,"10,047,139",34.99
11/26/2016,11/30/2016,5-Nov,1.6743,1.5958,"10,840,769",34.95
11/26/2016,11/30/2016,12-Nov,1.7657,1.6852,"11,144,642",35.04
11/26/2016,11/30/2016,19-Nov,1.8678,1.7763,"10,120,762",34.81
11/26/2016,11/30/2016,26-Nov,1.8756,1.7868,"10,265,375",34.92
11/19/2016,11/23/2016,19-Nov,1.8678,1.7763,"10,120,762",34.81
11/19/2016,11/23/2016,12-Nov,1.7657,1.6852,"11,144,642",35.04
11/19/2016,11/23/2016,5-Nov,1.6743,1.5958,"10,840,769",34.95
11/19/2016,11/23/2016,29-Oct,1.6478,1.5716,"10,047,139",34.99
11/19/2016,11/23/2016,22-Oct,1.5993,1.5253,"10,393,863",34.99
11/12/2016,11/16/2016,15-Oct,1.6169,1.544,"11,036,981",35.07
11/12/2016,11/16/2016,22-Oct,1.5993,1.5253,"10,393,863",34.99
11/12/2016,11/16/2016,29-Oct,1.6478,1.5716,"10,047,139",34.99
11/12/2016,11/16/2016,5-Nov,1.6743,1.5958,"10,840,769",34.95
11/12/2016,11/16/2016,12-Nov,1.7657,1.6852,"11,144,642",35.04
11/5/2016,11/9/2016,5-Nov,1.6743,1.5958,"10,840,769",34.95
11/5/2016,11/9/2016,29-Oct,1.6478,1.5716,"10,047,139",34.99
11/5/2016,11/9/2016,22-Oct,1.5993,1.5253,"10,393,863",34.99
11/5/2016,11/9/2016,15-Oct,1.6169,1.544,"11,037,044",35.07
11/5/2016,11/9/2016,8-Oct,1.6144,1.5424,"10,557,601",35.11
10/29/2016,11/2/2016,1-Oct,1.679,1.5952,"11,166,195",34.74
10/29/2016,11/2/2016,8-Oct,1.6144,1.5424,"10,557,601",35.11
10/29/2016,11/2/2016,15-Oct,1.6169,1.544,"11,037,538",35.07
10/29/2016,11/2/2016,22-Oct,1.5991,1.525,"10,393,863",34.99
10/29/2016,11/2/2016,29-Oct,1.6478,1.5716,"10,047,140",34.99
10/22/2016,10/26/2016,22-Oct,1.5991,1.525,"10,393,863",34.99
10/22/2016,10/26/2016,15-Oct,1.6169,1.544,"11,037,538",35.07
10/22/2016,10/26/2016,8-Oct,1.6144,1.5424,"10,557,601",35.11
10/22/2016,10/26/2016,1-Oct,1.679,1.5952,"11,166,195",34.74
10/22/2016,10/26/2016,24-Sep,1.7223,1.6413,"10,757,116",34.94
10/15/2016,10/19/2016,17-Sep,1.8087,1.7227,"10,010,550",34.91
10/15/2016,10/19/2016,24-Sep,1.7223,1.6413,"10,757,116",34.94
10/15/2016,10/19/2016,1-Oct,1.679,1.5952,"11,166,195",34.74
10/15/2016,10/19/2016,8-Oct,1.6144,1.5424,"10,557,601",35.11
10/15/2016,10/19/2016,15-Oct,1.6169,1.544,"11,037,538",35.07
10/8/2016,10/13/2016,8-Oct,1.6144,1.5424,"10,557,601",35.11
10/8/2016,10/13/2016,1-Oct,1.679,1.5952,"11,166,195",34.74
10/8/2016,10/13/2016,24-Sep,1.7223,1.6413,"10,757,116",34.94
10/8/2016,10/13/2016,17-Sep,1.8087,1.7227,"10,010,550",34.91
10/8/2016,10/13/2016,10-Sep,1.8445,1.7613,"10,390,836",35.07
10/1/2016,10/5/2016,3-Sep,1.9669,1.8764,"9,253,676",35.01
10/1/2016,10/5/2016,10-Sep,1.8445,1.7613,"10,390,836",35.07
10/1/2016,10/5/2016,17-Sep,1.8087,1.7227,"10,010,550",34.91
10/1/2016,10/5/2016,24-Sep,1.7223,1.6413,"10,757,116",34.94
10/1/2016,10/5/2016,1-Oct,1.6788,1.595,"11,166,195",34.74
9/24/2016,9/28/2016,24-Sep,1.7223,1.6413,"10,757,116",34.94
9/24/2016,9/28/2016,17-Sep,1.8087,1.7227,"10,010,550",34.91
9/24/2016,9/28/2016,10-Sep,1.8445,1.7613,"10,390,836",35.07
9/24/2016,9/28/2016,3-Sep,1.9669,1.8764,"9,253,676",35.01
9/24/2016,9/28/2016,27-Aug,2.0031,1.9057,"8,831,636",34.83
9/17/2016,9/21/2016,20-Aug,1.9737,1.8816,"10,344,607",34.96
9/17/2016,9/21/2016,27-Aug,2.0033,1.9057,"8,873,736",34.83
9/17/2016,9/21/2016,3-Sep,1.967,1.8765,"9,243,193",35.01
9/17/2016,9/21/2016,10-Sep,1.8445,1.7613,"10,390,836",35.07
9/17/2016,9/21/2016,17-Sep,1.8093,1.7234,"9,957,084",34.91
9/10/2016,9/14/2016,10-Sep,1.8445,1.7613,"10,390,836",35.07
9/10/2016,9/14/2016,3-Sep,1.967,1.8765,"9,243,193",35.01
9/10/2016,9/14/2016,27-Aug,2.0033,1.9057,"8,873,736",34.83
9/10/2016,9/14/2016,20-Aug,1.9737,1.8816,"10,344,607",34.96
9/10/2016,9/14/2016,13-Aug,1.9411,1.8433,"9,945,980",34.71
9/3/2016,9/8/2016,6-Aug,1.9105,1.8117,"9,666,063",34.62
9/3/2016,9/8/2016,13-Aug,1.9411,1.8433,"9,945,980",34.71
9/3/2016,9/8/2016,20-Aug,1.9737,1.8816,"10,344,607",34.96
9/3/2016,9/8/2016,27-Aug,2.0033,1.9057,"8,873,736",34.83
9/3/2016,9/8/2016,3-Sep,1.9663,1.8761,"9,163,641",35.02
8/27/2016,8/31/2016,27-Aug,2.0037,1.9062,"8,831,819",34.83
8/27/2016,8/31/2016,20-Aug,1.9737,1.8816,"10,344,607",34.96
8/27/2016,8/31/2016,13-Aug,1.9411,1.8433,"9,945,980",34.71
8/27/2016,8/31/2016,6-Aug,1.9105,1.8117,"9,666,063",34.62
8/27/2016,8/31/2016,30-Jul,1.8678,1.7729,"9,510,562",34.68
8/20/2016,8/24/2016,23-Jul,1.8299,1.7403,"8,734,554",34.81
8/20/2016,8/24/2016,30-Jul,1.8678,1.7729,"9,510,562",34.68
8/20/2016,8/24/2016,6-Aug,1.9105,1.8117,"9,666,063",34.62
8/20/2016,8/24/2016,13-Aug,1.9411,1.8433,"9,945,980",34.71
8/20/2016,8/24/2016,20-Aug,1.9737,1.8816,"10,344,607",34.96
8/13/2016,8/17/2016,13-Aug,1.9411,1.8433,"9,945,980",34.71
8/13/2016,8/17/2016,6-Aug,1.9105,1.8117,"9,666,063",34.62
8/13/2016,8/17/2016,30-Jul,1.8684,1.7729,"9,459,430",34.66
8/13/2016,8/17/2016,23-Jul,1.8299,1.7403,"8,734,554",34.81
8/13/2016,8/17/2016,16-Jul,1.78,1.6925,"10,174,982",34.8
8/6/2016,8/10/2016,9-Jul,1.7221,1.6352,"10,358,559",34.71
8/6/2016,8/10/2016,16-Jul,1.78,1.6925,"10,174,982",34.8
8/6/2016,8/10/2016,23-Jul,1.8299,1.7403,"8,734,554",34.81
8/6/2016,8/10/2016,30-Jul,1.8684,1.7729,"9,459,430",34.66
8/6/2016,8/10/2016,6-Aug,1.9106,1.8119,"9,706,959",34.62
7/30/2016,8/3/2016,30-Jul,1.8684,1.7729,"9,459,430",34.66
7/30/2016,8/3/2016,23-Jul,1.8299,1.7403,"8,734,554",34.81
